method,accuracy,pair
cosine,0.85125,pre_pre
cosine,0.81234375,pre_pre
cosine,0.85734375,pre_pre
cosine,0.9084375,pre_pre
cosine,0.85296875,pre_pre
cosine,0.80671875,pre_pre
cosine,0.82703125,pre_pre
cosine,0.858125,pre_pre
cosine,0.885,pre_pre
cosine,0.8284375,pre_pre
cosine,0.8865625,pre_pre
cosine,0.8684375,pre_pre
cosine,0.84734375,pre_pre
cosine,0.8434375,pre_pre
cosine,0.8071875,pre_pre
cosine,0.86859375,pre_pre
cosine,0.86875,pre_pre
cosine,0.8784375,pre_pre
cosine,0.8184375,pre_pre
cosine,0.88515625,pre_pre
cosine,0.8703125,pre_pre
cosine,0.8925,pre_pre
cosine,0.84109375,pre_pre
cosine,0.850625,pre_pre
cosine,0.87484375,pre_pre
cosine,0.8915625,pre_pre
cosine,0.8153125,pre_pre
cosine,0.85015625,pre_pre
cosine,0.81734375,pre_pre
cosine,0.9121875,pre_pre
cosine,0.888125,pre_pre
cosine,0.90484375,pre_pre
cosine,0.75859375,pre_pre
cosine,0.83796875,pre_pre
cosine,0.84234375,pre_pre
cosine,0.7440625,pre_pre
cosine,0.86234375,pre_pre
cosine,0.8040625,pre_pre
cosine,0.83375,pre_pre
cosine,0.85734375,pre_pre
cosine,0.8440625,pre_pre
cosine,0.86234375,pre_pre
cosine,0.81265625,pre_pre
cosine,0.8909375,pre_pre
cosine,0.86171875,pre_pre
cosine,0.9053125,pre_pre
cosine,0.86453125,pre_pre
cosine,0.788125,pre_pre
cosine,0.83296875,pre_pre
cosine,0.86625,pre_pre
cosine,0.90171875,pre_pre
cosine,0.91875,pre_pre
cosine,0.811875,pre_pre
cosine,0.87625,pre_pre
cosine,0.89671875,pre_pre
cosine,0.87625,pre_pre
cosine,0.84578125,pre_pre
cosine,0.84359375,pre_pre
cosine,0.89078125,pre_pre
cosine,0.806875,pre_pre
cosine,0.844375,pre_pre
cosine,0.88734375,pre_pre
cosine,0.8425,pre_pre
cosine,0.873125,pre_pre
cosine,0.84015625,pre_pre
cosine,0.9209375,pre_pre
cosine,0.825625,pre_pre
cosine,0.88109375,pre_pre
cosine,0.89671875,pre_pre
cosine,0.9028125,pre_pre
cosine,0.89796875,pre_pre
cosine,0.8759375,pre_pre
cosine,0.91765625,pre_pre
cosine,0.9034375,pre_pre
cosine,0.875625,pre_pre
cosine,0.89234375,pre_pre
cosine,0.8046875,pre_pre
cosine,0.89890625,pre_pre
cosine,0.8775,pre_pre
cosine,0.856875,pre_pre
cosine,0.910625,pre_pre
cosine,0.89546875,pre_pre
cosine,0.86625,pre_pre
cosine,0.851875,pre_pre
cosine,0.86078125,pre_pre
cosine,0.803125,pre_pre
cosine,0.8828125,pre_pre
cosine,0.8796875,pre_pre
cosine,0.81109375,pre_pre
cosine,0.85171875,pre_pre
cosine,0.7546875,pre_pre
cosine,0.85953125,pre_pre
cosine,0.8540625,pre_pre
cosine,0.78125,pre_pre
cosine,0.90578125,pre_pre
cosine,0.804375,pre_pre
cosine,0.8828125,pre_pre
cosine,0.88515625,pre_pre
cosine,0.880625,pre_pre
cosine,0.8740625,pre_pre
cosine,0.3634375,pre_norm
cosine,0.3590625,pre_norm
cosine,0.3546875,pre_norm
cosine,0.35828125,pre_norm
cosine,0.3521875,pre_norm
cosine,0.36,pre_norm
cosine,0.3625,pre_norm
cosine,0.36828125,pre_norm
cosine,0.3503125,pre_norm
cosine,0.3578125,pre_norm
cosine,0.3621875,pre_norm
cosine,0.3628125,pre_norm
cosine,0.3471875,pre_norm
cosine,0.35375,pre_norm
cosine,0.3565625,pre_norm
cosine,0.35375,pre_norm
cosine,0.35734375,pre_norm
cosine,0.3653125,pre_norm
cosine,0.35296875,pre_norm
cosine,0.35953125,pre_norm
cosine,0.3546875,pre_norm
cosine,0.3559375,pre_norm
cosine,0.34828125,pre_norm
cosine,0.36671875,pre_norm
cosine,0.35609375,pre_norm
cosine,0.35234375,pre_norm
cosine,0.35421875,pre_norm
cosine,0.3528125,pre_norm
cosine,0.3584375,pre_norm
cosine,0.36328125,pre_norm
cosine,0.3590625,pre_norm
cosine,0.3615625,pre_norm
cosine,0.3540625,pre_norm
cosine,0.35421875,pre_norm
cosine,0.34640625,pre_norm
cosine,0.34859375,pre_norm
cosine,0.36828125,pre_norm
cosine,0.3528125,pre_norm
cosine,0.3621875,pre_norm
cosine,0.35984375,pre_norm
cosine,0.35046875,pre_norm
cosine,0.3521875,pre_norm
cosine,0.3625,pre_norm
cosine,0.3528125,pre_norm
cosine,0.348125,pre_norm
cosine,0.35515625,pre_norm
cosine,0.3525,pre_norm
cosine,0.36375,pre_norm
cosine,0.34734375,pre_norm
cosine,0.3603125,pre_norm
cosine,0.3553125,pre_norm
cosine,0.3628125,pre_norm
cosine,0.35828125,pre_norm
cosine,0.35546875,pre_norm
cosine,0.36234375,pre_norm
cosine,0.3575,pre_norm
cosine,0.36265625,pre_norm
cosine,0.36328125,pre_norm
cosine,0.3603125,pre_norm
cosine,0.3675,pre_norm
cosine,0.356875,pre_norm
cosine,0.35796875,pre_norm
cosine,0.3475,pre_norm
cosine,0.363125,pre_norm
cosine,0.37546875,pre_norm
cosine,0.36109375,pre_norm
cosine,0.36140625,pre_norm
cosine,0.365625,pre_norm
cosine,0.35296875,pre_norm
cosine,0.3553125,pre_norm
cosine,0.35109375,pre_norm
cosine,0.3515625,pre_norm
cosine,0.35515625,pre_norm
cosine,0.3534375,pre_norm
cosine,0.3596875,pre_norm
cosine,0.34921875,pre_norm
cosine,0.360625,pre_norm
cosine,0.3571875,pre_norm
cosine,0.35375,pre_norm
cosine,0.36453125,pre_norm
cosine,0.3546875,pre_norm
cosine,0.36,pre_norm
cosine,0.3484375,pre_norm
cosine,0.356875,pre_norm
cosine,0.35609375,pre_norm
cosine,0.3475,pre_norm
cosine,0.3584375,pre_norm
cosine,0.34828125,pre_norm
cosine,0.35875,pre_norm
cosine,0.3621875,pre_norm
cosine,0.36453125,pre_norm
cosine,0.35765625,pre_norm
cosine,0.35078125,pre_norm
cosine,0.366875,pre_norm
cosine,0.36203125,pre_norm
cosine,0.3540625,pre_norm
cosine,0.35890625,pre_norm
cosine,0.35890625,pre_norm
cosine,0.35765625,pre_norm
cosine,0.34375,pre_norm
cosine,0.066875,pre_cor
cosine,0.06984375,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06625,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06328125,pre_cor
cosine,0.06859375,pre_cor
cosine,0.06390625,pre_cor
cosine,0.06359375,pre_cor
cosine,0.0634375,pre_cor
cosine,0.0628125,pre_cor
cosine,0.0684375,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06890625,pre_cor
cosine,0.06328125,pre_cor
cosine,0.07,pre_cor
cosine,0.06609375,pre_cor
cosine,0.06265625,pre_cor
cosine,0.0634375,pre_cor
cosine,0.06375,pre_cor
cosine,0.06609375,pre_cor
cosine,0.06859375,pre_cor
cosine,0.06484375,pre_cor
cosine,0.0634375,pre_cor
cosine,0.06515625,pre_cor
cosine,0.06890625,pre_cor
cosine,0.06421875,pre_cor
cosine,0.065,pre_cor
cosine,0.06328125,pre_cor
cosine,0.06859375,pre_cor
cosine,0.07109375,pre_cor
cosine,0.06328125,pre_cor
cosine,0.06703125,pre_cor
cosine,0.06734375,pre_cor
cosine,0.06671875,pre_cor
cosine,0.0634375,pre_cor
cosine,0.0653125,pre_cor
cosine,0.06640625,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06671875,pre_cor
cosine,0.06625,pre_cor
cosine,0.0671875,pre_cor
cosine,0.0628125,pre_cor
cosine,0.06734375,pre_cor
cosine,0.06765625,pre_cor
cosine,0.06421875,pre_cor
cosine,0.06734375,pre_cor
cosine,0.06578125,pre_cor
cosine,0.06390625,pre_cor
cosine,0.065,pre_cor
cosine,0.06859375,pre_cor
cosine,0.06359375,pre_cor
cosine,0.0646875,pre_cor
cosine,0.06265625,pre_cor
cosine,0.0665625,pre_cor
cosine,0.06421875,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06359375,pre_cor
cosine,0.06921875,pre_cor
cosine,0.06609375,pre_cor
cosine,0.0684375,pre_cor
cosine,0.06484375,pre_cor
cosine,0.069375,pre_cor
cosine,0.06640625,pre_cor
cosine,0.063125,pre_cor
cosine,0.06296875,pre_cor
cosine,0.065625,pre_cor
cosine,0.0659375,pre_cor
cosine,0.06265625,pre_cor
cosine,0.0625,pre_cor
cosine,0.07046875,pre_cor
cosine,0.06625,pre_cor
cosine,0.06265625,pre_cor
cosine,0.06375,pre_cor
cosine,0.0665625,pre_cor
cosine,0.06265625,pre_cor
cosine,0.0653125,pre_cor
cosine,0.06296875,pre_cor
cosine,0.06359375,pre_cor
cosine,0.06421875,pre_cor
cosine,0.06359375,pre_cor
cosine,0.065,pre_cor
cosine,0.0634375,pre_cor
cosine,0.07359375,pre_cor
cosine,0.06328125,pre_cor
cosine,0.06421875,pre_cor
cosine,0.0659375,pre_cor
cosine,0.0634375,pre_cor
cosine,0.06390625,pre_cor
cosine,0.0671875,pre_cor
cosine,0.064375,pre_cor
cosine,0.06421875,pre_cor
cosine,0.06453125,pre_cor
cosine,0.06515625,pre_cor
cosine,0.06875,pre_cor
cosine,0.06734375,pre_cor
cosine,0.06359375,pre_cor
cosine,0.0671875,pre_cor
cosine,0.56953125,norm_pre
cosine,0.53015625,norm_pre
cosine,0.61203125,norm_pre
cosine,0.78640625,norm_pre
cosine,0.67609375,norm_pre
cosine,0.405625,norm_pre
cosine,0.606875,norm_pre
cosine,0.56015625,norm_pre
cosine,0.57046875,norm_pre
cosine,0.5315625,norm_pre
cosine,0.778125,norm_pre
cosine,0.54734375,norm_pre
cosine,0.60609375,norm_pre
cosine,0.54015625,norm_pre
cosine,0.541875,norm_pre
cosine,0.63875,norm_pre
cosine,0.76140625,norm_pre
cosine,0.74015625,norm_pre
cosine,0.51296875,norm_pre
cosine,0.70859375,norm_pre
cosine,0.68484375,norm_pre
cosine,0.62625,norm_pre
cosine,0.515,norm_pre
cosine,0.54875,norm_pre
cosine,0.7096875,norm_pre
cosine,0.69796875,norm_pre
cosine,0.57125,norm_pre
cosine,0.50421875,norm_pre
cosine,0.72265625,norm_pre
cosine,0.86046875,norm_pre
cosine,0.6084375,norm_pre
cosine,0.67390625,norm_pre
cosine,0.503125,norm_pre
cosine,0.5821875,norm_pre
cosine,0.5646875,norm_pre
cosine,0.51359375,norm_pre
cosine,0.755,norm_pre
cosine,0.705625,norm_pre
cosine,0.604375,norm_pre
cosine,0.59125,norm_pre
cosine,0.55890625,norm_pre
cosine,0.8234375,norm_pre
cosine,0.59875,norm_pre
cosine,0.716875,norm_pre
cosine,0.6184375,norm_pre
cosine,0.54953125,norm_pre
cosine,0.73515625,norm_pre
cosine,0.51109375,norm_pre
cosine,0.42109375,norm_pre
cosine,0.5259375,norm_pre
cosine,0.52421875,norm_pre
cosine,0.80453125,norm_pre
cosine,0.5240625,norm_pre
cosine,0.73234375,norm_pre
cosine,0.7765625,norm_pre
cosine,0.67375,norm_pre
cosine,0.53375,norm_pre
cosine,0.68859375,norm_pre
cosine,0.68125,norm_pre
cosine,0.54390625,norm_pre
cosine,0.61796875,norm_pre
cosine,0.775625,norm_pre
cosine,0.5115625,norm_pre
cosine,0.50015625,norm_pre
cosine,0.6853125,norm_pre
cosine,0.7778125,norm_pre
cosine,0.66125,norm_pre
cosine,0.70109375,norm_pre
cosine,0.6903125,norm_pre
cosine,0.67859375,norm_pre
cosine,0.51109375,norm_pre
cosine,0.73546875,norm_pre
cosine,0.70125,norm_pre
cosine,0.75328125,norm_pre
cosine,0.6384375,norm_pre
cosine,0.6821875,norm_pre
cosine,0.49421875,norm_pre
cosine,0.75765625,norm_pre
cosine,0.82875,norm_pre
cosine,0.62546875,norm_pre
cosine,0.64609375,norm_pre
cosine,0.7871875,norm_pre
cosine,0.5328125,norm_pre
cosine,0.73984375,norm_pre
cosine,0.50203125,norm_pre
cosine,0.5603125,norm_pre
cosine,0.6740625,norm_pre
cosine,0.58359375,norm_pre
cosine,0.59328125,norm_pre
cosine,0.53734375,norm_pre
cosine,0.56859375,norm_pre
cosine,0.7634375,norm_pre
cosine,0.4290625,norm_pre
cosine,0.56265625,norm_pre
cosine,0.7709375,norm_pre
cosine,0.68296875,norm_pre
cosine,0.4771875,norm_pre
cosine,0.3753125,norm_pre
cosine,0.588125,norm_pre
cosine,0.64796875,norm_pre
cosine,0.7565625,norm_norm
cosine,0.77125,norm_norm
cosine,0.76515625,norm_norm
cosine,0.763125,norm_norm
cosine,0.74875,norm_norm
cosine,0.75484375,norm_norm
cosine,0.7475,norm_norm
cosine,0.74984375,norm_norm
cosine,0.75953125,norm_norm
cosine,0.7615625,norm_norm
cosine,0.7775,norm_norm
cosine,0.77328125,norm_norm
cosine,0.7625,norm_norm
cosine,0.7590625,norm_norm
cosine,0.761875,norm_norm
cosine,0.7609375,norm_norm
cosine,0.77421875,norm_norm
cosine,0.76390625,norm_norm
cosine,0.74546875,norm_norm
cosine,0.77421875,norm_norm
cosine,0.7553125,norm_norm
cosine,0.75171875,norm_norm
cosine,0.765,norm_norm
cosine,0.7534375,norm_norm
cosine,0.7753125,norm_norm
cosine,0.76953125,norm_norm
cosine,0.75640625,norm_norm
cosine,0.75625,norm_norm
cosine,0.7515625,norm_norm
cosine,0.756875,norm_norm
cosine,0.746875,norm_norm
cosine,0.75703125,norm_norm
cosine,0.7559375,norm_norm
cosine,0.74390625,norm_norm
cosine,0.76,norm_norm
cosine,0.764375,norm_norm
cosine,0.778125,norm_norm
cosine,0.74875,norm_norm
cosine,0.76140625,norm_norm
cosine,0.75421875,norm_norm
cosine,0.7621875,norm_norm
cosine,0.76375,norm_norm
cosine,0.76390625,norm_norm
cosine,0.77796875,norm_norm
cosine,0.75953125,norm_norm
cosine,0.74359375,norm_norm
cosine,0.76640625,norm_norm
cosine,0.759375,norm_norm
cosine,0.74828125,norm_norm
cosine,0.7659375,norm_norm
cosine,0.776875,norm_norm
cosine,0.75546875,norm_norm
cosine,0.765625,norm_norm
cosine,0.76421875,norm_norm
cosine,0.77078125,norm_norm
cosine,0.76421875,norm_norm
cosine,0.7675,norm_norm
cosine,0.7628125,norm_norm
cosine,0.76453125,norm_norm
cosine,0.75109375,norm_norm
cosine,0.75140625,norm_norm
cosine,0.7584375,norm_norm
cosine,0.7603125,norm_norm
cosine,0.76796875,norm_norm
cosine,0.770625,norm_norm
cosine,0.78234375,norm_norm
cosine,0.77609375,norm_norm
cosine,0.76296875,norm_norm
cosine,0.76125,norm_norm
cosine,0.755,norm_norm
cosine,0.766875,norm_norm
cosine,0.769375,norm_norm
cosine,0.75671875,norm_norm
cosine,0.76875,norm_norm
cosine,0.75734375,norm_norm
cosine,0.76796875,norm_norm
cosine,0.76078125,norm_norm
cosine,0.755625,norm_norm
cosine,0.768125,norm_norm
cosine,0.76703125,norm_norm
cosine,0.7678125,norm_norm
cosine,0.761875,norm_norm
cosine,0.74875,norm_norm
cosine,0.7728125,norm_norm
cosine,0.75078125,norm_norm
cosine,0.7525,norm_norm
cosine,0.76109375,norm_norm
cosine,0.7621875,norm_norm
cosine,0.76671875,norm_norm
cosine,0.74671875,norm_norm
cosine,0.766875,norm_norm
cosine,0.7571875,norm_norm
cosine,0.76796875,norm_norm
cosine,0.75078125,norm_norm
cosine,0.7621875,norm_norm
cosine,0.7690625,norm_norm
cosine,0.74078125,norm_norm
cosine,0.76921875,norm_norm
cosine,0.75734375,norm_norm
cosine,0.75328125,norm_norm
cosine,0.3103125,norm_cor
cosine,0.28671875,norm_cor
cosine,0.30296875,norm_cor
cosine,0.3103125,norm_cor
cosine,0.30796875,norm_cor
cosine,0.301875,norm_cor
cosine,0.3134375,norm_cor
cosine,0.31234375,norm_cor
cosine,0.31234375,norm_cor
cosine,0.2340625,norm_cor
cosine,0.22078125,norm_cor
cosine,0.31140625,norm_cor
cosine,0.31015625,norm_cor
cosine,0.3109375,norm_cor
cosine,0.303125,norm_cor
cosine,0.3121875,norm_cor
cosine,0.24078125,norm_cor
cosine,0.3025,norm_cor
cosine,0.30875,norm_cor
cosine,0.31734375,norm_cor
cosine,0.31171875,norm_cor
cosine,0.310625,norm_cor
cosine,0.30953125,norm_cor
cosine,0.31015625,norm_cor
cosine,0.30296875,norm_cor
cosine,0.32421875,norm_cor
cosine,0.3121875,norm_cor
cosine,0.3121875,norm_cor
cosine,0.23015625,norm_cor
cosine,0.30546875,norm_cor
cosine,0.3153125,norm_cor
cosine,0.31015625,norm_cor
cosine,0.31078125,norm_cor
cosine,0.310625,norm_cor
cosine,0.3303125,norm_cor
cosine,0.295625,norm_cor
cosine,0.30265625,norm_cor
cosine,0.31140625,norm_cor
cosine,0.286875,norm_cor
cosine,0.30953125,norm_cor
cosine,0.30984375,norm_cor
cosine,0.311875,norm_cor
cosine,0.21578125,norm_cor
cosine,0.315625,norm_cor
cosine,0.23875,norm_cor
cosine,0.291875,norm_cor
cosine,0.3215625,norm_cor
cosine,0.31265625,norm_cor
cosine,0.30703125,norm_cor
cosine,0.2590625,norm_cor
cosine,0.3084375,norm_cor
cosine,0.2928125,norm_cor
cosine,0.31359375,norm_cor
cosine,0.30875,norm_cor
cosine,0.25375,norm_cor
cosine,0.3075,norm_cor
cosine,0.2859375,norm_cor
cosine,0.15828125,norm_cor
cosine,0.3084375,norm_cor
cosine,0.32546875,norm_cor
cosine,0.3103125,norm_cor
cosine,0.3103125,norm_cor
cosine,0.2809375,norm_cor
cosine,0.311875,norm_cor
cosine,0.3034375,norm_cor
cosine,0.313125,norm_cor
cosine,0.29921875,norm_cor
cosine,0.324375,norm_cor
cosine,0.22765625,norm_cor
cosine,0.3121875,norm_cor
cosine,0.29921875,norm_cor
cosine,0.0715625,norm_cor
cosine,0.32703125,norm_cor
cosine,0.251875,norm_cor
cosine,0.3109375,norm_cor
cosine,0.30203125,norm_cor
cosine,0.3103125,norm_cor
cosine,0.30875,norm_cor
cosine,0.32828125,norm_cor
cosine,0.17796875,norm_cor
cosine,0.291875,norm_cor
cosine,0.31078125,norm_cor
cosine,0.28671875,norm_cor
cosine,0.2759375,norm_cor
cosine,0.3103125,norm_cor
cosine,0.31078125,norm_cor
cosine,0.3265625,norm_cor
cosine,0.16578125,norm_cor
cosine,0.31203125,norm_cor
cosine,0.23171875,norm_cor
cosine,0.3221875,norm_cor
cosine,0.30078125,norm_cor
cosine,0.311875,norm_cor
cosine,0.2653125,norm_cor
cosine,0.329375,norm_cor
cosine,0.2896875,norm_cor
cosine,0.28015625,norm_cor
cosine,0.311875,norm_cor
cosine,0.311875,norm_cor
cosine,0.29984375,norm_cor
cosine,0.23609375,cor_pre
cosine,0.23875,cor_pre
cosine,0.22046875,cor_pre
cosine,0.33328125,cor_pre
cosine,0.2440625,cor_pre
cosine,0.2590625,cor_pre
cosine,0.17734375,cor_pre
cosine,0.3128125,cor_pre
cosine,0.2721875,cor_pre
cosine,0.29953125,cor_pre
cosine,0.30609375,cor_pre
cosine,0.300625,cor_pre
cosine,0.30640625,cor_pre
cosine,0.31140625,cor_pre
cosine,0.3115625,cor_pre
cosine,0.2759375,cor_pre
cosine,0.3453125,cor_pre
cosine,0.3184375,cor_pre
cosine,0.32390625,cor_pre
cosine,0.29265625,cor_pre
cosine,0.18578125,cor_pre
cosine,0.3109375,cor_pre
cosine,0.3103125,cor_pre
cosine,0.305625,cor_pre
cosine,0.27265625,cor_pre
cosine,0.30859375,cor_pre
cosine,0.17453125,cor_pre
cosine,0.30890625,cor_pre
cosine,0.223125,cor_pre
cosine,0.35625,cor_pre
cosine,0.2653125,cor_pre
cosine,0.27359375,cor_pre
cosine,0.29046875,cor_pre
cosine,0.27671875,cor_pre
cosine,0.22796875,cor_pre
cosine,0.381875,cor_pre
cosine,0.268125,cor_pre
cosine,0.19703125,cor_pre
cosine,0.315625,cor_pre
cosine,0.29859375,cor_pre
cosine,0.30109375,cor_pre
cosine,0.35125,cor_pre
cosine,0.27140625,cor_pre
cosine,0.385,cor_pre
cosine,0.21078125,cor_pre
cosine,0.2740625,cor_pre
cosine,0.23546875,cor_pre
cosine,0.20546875,cor_pre
cosine,0.27875,cor_pre
cosine,0.308125,cor_pre
cosine,0.25421875,cor_pre
cosine,0.3428125,cor_pre
cosine,0.24875,cor_pre
cosine,0.27515625,cor_pre
cosine,0.346875,cor_pre
cosine,0.26171875,cor_pre
cosine,0.25078125,cor_pre
